Family,Scientific Name,Common Name,Reporting status,Migratory status,Breeding status,Habitat Use,IUCN Status,Location Codes
Anatidae,Dendrocygna bicolor,Fulvous Whistling-Duck,CO,W,V,SW,LC,"AEC, AZ, BO, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Anatidae,Dendrocygna javanica,Lesser Whistling-Duck,CO,R,RB,SW,LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Anatidae,Anser indicus,Bar-headed Goose,CO,W,V,SW,LC,"AZ, CH, DH, GA, KCS, WMP, WS, WT"
Anatidae,Anser anser,Graylag Goose,CO,W,V,SW,LC,"AEC, AZ, CH, DH, GA, KCS, WMP, WS, WT"
Anatidae,Anser serrirostris,Tundra Bean-Goose,VR,W,V,SW,LC,KCS
Anatidae,Tadorna ferruginea,Ruddy Shelduck,CO,W,V,SW,LC,"AEC, AZ, BP, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Anatidae,Tadorna tadorna,Common Shelduck,LR,W,V,SW,LC,"BP, CH, GA, KCS, WS, WT"
Anatidae,Nettapus coromandelianus,Cotton Pygmy-Goose,CO,R,RB,SW,LC,"AEC, AZ, DH, GA, KCS, WMP, WS, WT"
Anatidae,Sibirionetta formosa,Baikal Teal,LR,W,V,SW,LC,"AZ, DH, GA, KCS, WS, WT"
Anatidae,Spatula querquedula,Garganey,CO,W,V,SW,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Anatidae,Spatula clypeata,Northern Shoveler,CO,W,V,SW,LC,"AEC, AZ, BO, BP, CH, GA, KCS, SSK, WMP, WS, WT"
Anatidae,Mareca strepera,Gadwall,CO,W,V,SW,LC,"AEC, AZ, BO, BP, CH, GA, KCS, SSK, WMP, WS, WT"
Anatidae,Mareca falcata,Falcated Duck,LR,W,V,SW,LC,"AZ, BP, GA, SSK, WMP, WS, WT"
Anatidae,Mareca strepera x falcata,Gadwall x Falcated Duck (hybrid),VR,W,V,SW,NIL,AEC
Anatidae,Mareca penelope,Eurasian Wigeon,CO,W,V,SW,LC,"AZ, BO, BP, CH, GA, KCS, SSK, WMP, WS, WT"
Anatidae,Anas poecilorhyncha,Indian Spot-billed Duck,CO,W,V,SW,LC,"AEC, AZ, BP, CH, GA, KCS, MP, WMP, WS, WT"
Anatidae,Anas zonorhyncha,Eastern Spot-billed Duck,LR,W,V,SW,LC,KCS
Anatidae,Anas platyrhynchos,Mallard,LR,W,V,SW,LC,"AZ, BO, BP, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Anatidae,Anas acuta,Northern Pintail,CO,W,V,SW,LC,"AZ, BO, BP, CH, DH, GA, KCS, SSK, WMP, WS, WT"
Anatidae,Anas crecca,Green-winged Teal,CO,W,V,SW,LC,"BO, CH, GA, KCS, MP, SSK, WMP, WS, WT"
Anatidae,Netta rufina,Red-crested Pochard,CO,W,V,OW,LC,"AZ, BO, CH, DH, GA, KCS, TE, WMP, WS, WT"
Anatidae,Aythya ferina,Common Pochard,CO,W,V,OW,VU,"AEC, AZ, BO, BP, CH, DH, GA, KCS, MP, SSK, WMP, WS, WT"
Anatidae,Aythya nyroca,Ferruginous Duck,CO,W,V,OW,NT,"AEC, AZ, BO, CH, GA, KCS, MP, WMP, WS, WT"
Anatidae,Aythya fuligula,Tufted Duck,CO,W,V,OW,LC,"AZ, BO, BP, CH, GA, KCS, MP, SSK, WMP, WS, WT"
Columbidae ,Columba livia,Rock Pigeon,CO,R,RB,OL,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Columbidae ,Streptopelia orientalis,Oriental Turtle-Dove,CO,R,V,OL,LC,"AZ, BO, CH, GA, KCS, MG, SSK, WMP, WS, WT"
Columbidae ,Streptopelia decaocto,Eurasian Collared-Dove,LR,R,V,"GL, OL, SC",LC,"AZ, BO, CH, GA, KCS, SSK, WMP, WS, WT"
Columbidae ,Streptopelia tranquebarica,Red Collared-Dove,LD,R,RB,"GL, OL, SC",LC,"AZ, CH, GA, KCS, TE, WMP, WS, WT"
Columbidae ,Spilopelia chinensis,Spotted Dove,CO,R,RB,OL,LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Columbidae ,Treron phoenicopterus,Yellow-footed Green-Pigeon,CO,R,RB,OL,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
